Dataset,DLGN,DLGN (rotated),XGBoost,XGBoost (rotated)
electricity,81.99,80.54696201,86.93,79.85397847
bank-marketing,78.53,78.30783078,80.3,75.96759676
Diabetes130US,61.01,60.98198138,60.59,58.87199411
california,88.69,87.5403784,90.1,85.2099677
credit,76.42,74.96439761,77.34,69.95158075
covertype,94.24,,81.83,
MagicTelescope,85.52,85.44483986,85.96,82.95373665
house_16H,86.66,85.92095977,88.8,85.39167255
eye_movements,58.29,56.53533458,65.88,55.22201376
default-of-credit-card-clients,70.62,69.9784792,71.56,68.1133429
heloc,71.9,70.95238095,71.72,67.23809524
Higgs,75.02,,71.36,
pol,98.91,98.67799811,98.16,97.30878187
MiniBooNE,93.66,92.56408584,93.68,90.11153871
jannis,78.87,78.82070791,77.85,73.36255375
Bioresponse,77.29,77.00831025,79.2,76.17728532
